# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_conservative_inframe_deletion	variants_effect_conservative_inframe_insertion	variants_effect_disruptive_inframe_deletion	variants_effect_disruptive_inframe_insertion	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_initiator_codon_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_non_coding_transcript_variant	variants_effect_splice_region_variant	variants_effect_start_lost	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_stop_retained_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
acpH	gene-b0404	TRANSCRIPT_gene-b0404	protein_coding	1	0	0	19	0	0	0	0	17	0	0	0	0	0	0	0	0	1	0	0	0	2
acpP	gene-b1094	TRANSCRIPT_gene-b1094	protein_coding	0	0	0	82	0	0	0	0	57	0	0	0	0	0	0	0	0	0	0	0	0	25
acpS	gene-b2563	TRANSCRIPT_gene-b2563	protein_coding	0	1	0	31	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	29
acpT	gene-b3475	TRANSCRIPT_gene-b3475	protein_coding	0	0	1	99	0	0	0	0	50	0	0	0	1	0	0	0	0	0	0	0	0	49
acrA	gene-b0463	TRANSCRIPT_gene-b0463	protein_coding	0	0	0	6	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	4
acrB	gene-b0462	TRANSCRIPT_gene-b0462	protein_coding	0	0	2	23	0	0	0	0	19	0	0	0	2	0	0	0	0	0	0	0	0	4
acrD	gene-b2470	TRANSCRIPT_gene-b2470	protein_coding	0	7	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	1
acrE	gene-b3265	TRANSCRIPT_gene-b3265	protein_coding	0	12	1	117	0	0	0	0	72	0	0	0	1	0	0	0	0	0	0	0	12	45
acrF	gene-b3266	TRANSCRIPT_gene-b3266	protein_coding	0	27	5	121	0	0	0	0	63	0	0	0	5	0	0	0	0	0	0	0	27	58
acrR	gene-b0464	TRANSCRIPT_gene-b0464	protein_coding	0	0	0	6	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	3
acrZ	gene-b0762	TRANSCRIPT_gene-b0762	protein_coding	0	0	0	4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3
acs	gene-b4069	TRANSCRIPT_gene-b4069	protein_coding	0	1	0	35	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	1	23
actP	gene-b4067	TRANSCRIPT_gene-b4067	protein_coding	0	0	0	33	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	2
actS	gene-b2865	TRANSCRIPT_gene-b2865	protein_coding	0	0	0	17	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	6
ada	gene-b2213	TRANSCRIPT_gene-b2213	protein_coding	0	17	5	54	0	0	0	0	53	0	0	0	5	0	0	0	0	0	0	0	17	1
add	gene-b1623	TRANSCRIPT_gene-b1623	protein_coding	0	0	0	74	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	72
adeD	gene-b3665	TRANSCRIPT_gene-b3665	protein_coding	0	0	0	40	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	21
adeP	gene-b3714	TRANSCRIPT_gene-b3714	protein_coding	0	22	2	160	0	0	0	0	67	0	0	0	2	0	0	0	0	0	0	0	22	93
adeQ	gene-b3664	TRANSCRIPT_gene-b3664	protein_coding	0	1	2	34	0	0	0	0	20	0	0	0	2	0	0	0	0	0	0	0	1	14
adhE	gene-b1241	TRANSCRIPT_gene-b1241	protein_coding	0	3	0	46	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	3	13
adhP	gene-b1478	TRANSCRIPT_gene-b1478	protein_coding	0	0	0	50	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	13
adiA	gene-b4117	TRANSCRIPT_gene-b4117	protein_coding	0	0	1	56	0	0	0	0	19	0	0	0	1	0	0	0	0	0	0	0	0	37
adiC	gene-b4115	TRANSCRIPT_gene-b4115	protein_coding	0	0	1	43	0	0	0	0	29	0	0	0	1	0	0	0	0	0	0	0	0	14
adiY	gene-b4116	TRANSCRIPT_gene-b4116	protein_coding	0	0	0	45	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	25
adk	gene-b0474	TRANSCRIPT_gene-b0474	protein_coding	0	10	0	56	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	10	16
aegA	gene-b2468	TRANSCRIPT_gene-b2468	protein_coding	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8
aer	gene-b3072	TRANSCRIPT_gene-b3072	protein_coding	0	0	0	10	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	7
aes	gene-b0476	TRANSCRIPT_gene-b0476	protein_coding	0	5	3	60	0	0	0	0	38	0	0	0	3	0	0	0	0	0	0	0	5	22
afuB	afuB	gene-b0263	pseudogene	0	0	0	12	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0
afuC	gene-b0262	TRANSCRIPT_gene-b0262	protein_coding	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12
agaA	agaA	gene-b3135	pseudogene	0	0	0	126	0	0	0	0	47	0	0	0	0	0	13	0	0	0	0	0	0	66
agaB	gene-b3138	TRANSCRIPT_gene-b3138	protein_coding	0	3	2	96	0	0	0	0	42	0	0	0	2	0	0	0	0	0	0	0	3	54
agaC	gene-b3139	TRANSCRIPT_gene-b3139	protein_coding	0	1	0	101	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	1	57
agaD	gene-b3140	TRANSCRIPT_gene-b3140	protein_coding	0	2	1	108	0	0	0	0	50	0	0	0	1	0	0	0	0	0	0	0	2	58
agaI	gene-b3141	TRANSCRIPT_gene-b3141	protein_coding	0	3	1	106	0	0	0	0	51	0	0	0	1	0	0	0	0	0	0	0	3	55
agaR	gene-b3131	TRANSCRIPT_gene-b3131	protein_coding	0	12	0	107	0	0	0	0	55	0	0	0	0	0	0	0	0	0	0	0	12	52
agaS	gene-b3136	TRANSCRIPT_gene-b3136	protein_coding	0	17	2	102	0	0	0	0	41	0	0	0	2	0	0	0	0	0	0	0	17	61
agaV	gene-b3133	TRANSCRIPT_gene-b3133	protein_coding	0	0	1	128	0	0	0	0	58	0	0	0	1	0	0	0	0	0	0	0	0	70
agaW	agaW	gene-b3134	pseudogene	0	0	0	128	0	0	0	0	55	0	0	0	0	0	4	0	0	0	0	0	0	69
agp	gene-b1002	TRANSCRIPT_gene-b1002	protein_coding	0	14	5	140	0	0	0	0	66	0	0	0	5	0	0	0	0	0	0	0	14	74
agrA	gene-b4712	rna-b4712	lincRNA	0	0	0	83	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	82
agrB	gene-b4713	rna-b4713	lincRNA	0	0	0	83	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	82
ahpC	gene-b0605	TRANSCRIPT_gene-b0605	protein_coding	0	0	0	72	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	55
ahpF	gene-b0606	TRANSCRIPT_gene-b0606	protein_coding	0	3	0	37	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	3	24
ahr	gene-b4269	TRANSCRIPT_gene-b4269	protein_coding	0	1	1	4	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	1	2
aidB	gene-b4187	TRANSCRIPT_gene-b4187	protein_coding	0	1	1	107	0	0	0	0	86	0	0	0	1	0	0	0	0	0	0	0	1	21
ais	gene-b2252	TRANSCRIPT_gene-b2252	protein_coding	0	0	1	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
alaA	gene-b2290	TRANSCRIPT_gene-b2290	protein_coding	0	3	0	34	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	3	17
alaC	gene-b2379	TRANSCRIPT_gene-b2379	protein_coding	0	0	0	92	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	72
alaE	gene-b2670	TRANSCRIPT_gene-b2670	protein_coding	0	0	0	94	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	91
alaS	gene-b2697	TRANSCRIPT_gene-b2697	protein_coding	0	0	1	53	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	52
alaT	gene-b3853	rna-b3853	protein_coding	0	0	0	46	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	18
alaU	gene-b3276	rna-b3276	protein_coding	0	0	0	34	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	7
alaV	gene-b0203	rna-b0203	protein_coding	0	0	0	66	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	41
alaW	gene-b2397	rna-b2397	protein_coding	0	0	0	19	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	2
alaX	gene-b2396	rna-b2396	protein_coding	0	0	0	19	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	2
aldA	gene-b1415	TRANSCRIPT_gene-b1415	protein_coding	0	6	4	107	0	0	0	0	11	0	0	0	4	0	0	0	0	0	0	0	6	96
aldB	gene-b3588	TRANSCRIPT_gene-b3588	protein_coding	0	2	1	135	0	0	0	0	53	0	0	0	1	0	0	0	0	0	0	0	2	82
alkA	gene-b2068	TRANSCRIPT_gene-b2068	protein_coding	0	6	9	242	0	0	0	0	75	0	0	0	9	0	0	0	0	0	0	0	6	167
alkB	gene-b2212	TRANSCRIPT_gene-b2212	protein_coding	0	3	3	72	0	0	0	0	49	0	0	0	3	0	0	0	0	0	0	0	3	23
allA	gene-b0505	TRANSCRIPT_gene-b0505	protein_coding	0	0	1	6	0	0	0	0	4	0	0	0	1	0	0	0	0	0	0	0	0	2
allB	gene-b0512	TRANSCRIPT_gene-b0512	protein_coding	0	6	2	75	0	0	0	0	71	0	0	0	2	0	0	0	0	0	0	0	6	4
allC	gene-b0516	TRANSCRIPT_gene-b0516	protein_coding	0	10	2	160	0	0	0	0	67	0	0	0	2	0	0	0	0	0	0	0	10	93
allD	gene-b0517	TRANSCRIPT_gene-b0517	protein_coding	0	6	5	172	0	0	0	0	71	0	0	0	5	0	0	0	0	0	0	0	6	101
allE	gene-b0515	TRANSCRIPT_gene-b0515	protein_coding	0	12	2	135	0	0	0	0	53	0	0	0	2	0	0	0	0	0	0	0	12	82
allR	gene-b0506	TRANSCRIPT_gene-b0506	protein_coding	0	0	0	7	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	3
allS	gene-b0504	TRANSCRIPT_gene-b0504	protein_coding	0	0	0	5	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	3
allW	gene-b0511	TRANSCRIPT_gene-b0511	protein_coding	0	0	0	71	0	0	0	0	67	0	0	0	0	0	0	0	0	0	0	0	0	4
allZ	gene-b4831	rna-b4831	lincRNA	0	0	0	7	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	3
alpA	gene-b2624	TRANSCRIPT_gene-b2624	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
alr	gene-b4053	TRANSCRIPT_gene-b4053	protein_coding	0	1	0	10	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	1	1
alsA	gene-b4087	TRANSCRIPT_gene-b4087	protein_coding	0	0	0	22	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	1
alsB	gene-b4088	TRANSCRIPT_gene-b4088	protein_coding	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
alsC	gene-b4086	TRANSCRIPT_gene-b4086	protein_coding	0	0	0	22	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0
alsE	gene-b4085	TRANSCRIPT_gene-b4085	protein_coding	0	1	0	21	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	1	0
alsK	gene-b4084	TRANSCRIPT_gene-b4084	protein_coding	0	0	0	22	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	1
alsR	gene-b4089	TRANSCRIPT_gene-b4089	protein_coding	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
alx	gene-b3088	TRANSCRIPT_gene-b3088	protein_coding	0	5	0	101	0	0	0	0	79	0	0	0	0	0	0	0	0	0	0	0	5	22
ameF	gene-b4844	rna-b4844	lincRNA	0	0	0	39	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	2
amiA	gene-b2435	TRANSCRIPT_gene-b2435	protein_coding	0	0	0	116	0	0	0	0	68	0	0	0	0	0	0	0	0	0	0	0	0	48
amiB	gene-b4169	TRANSCRIPT_gene-b4169	protein_coding	0	12	2	50	0	0	0	0	8	0	0	0	2	0	0	0	0	0	0	0	12	42
amiC	gene-b2817	TRANSCRIPT_gene-b2817	protein_coding	0	7	0	70	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	7	68
amiD	gene-b0867	TRANSCRIPT_gene-b0867	protein_coding	0	3	3	64	0	0	0	0	47	0	0	0	3	0	0	0	0	0	0	0	3	17
amn	gene-b1982	TRANSCRIPT_gene-b1982	protein_coding	0	0	0	4	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2
ampC	gene-b4150	TRANSCRIPT_gene-b4150	protein_coding	0	18	12	101	0	0	0	0	75	0	0	0	12	0	0	0	0	0	0	0	18	26
ampD	gene-b0110	TRANSCRIPT_gene-b0110	protein_coding	0	0	0	10	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	2
ampE	gene-b0111	TRANSCRIPT_gene-b0111	protein_coding	0	1	0	10	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	1	2
ampG	gene-b0433	TRANSCRIPT_gene-b0433	protein_coding	0	22	2	60	0	0	0	0	56	0	0	0	2	0	0	0	0	0	0	0	22	4
ampH	gene-b0376	TRANSCRIPT_gene-b0376	protein_coding	0	8	1	51	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	8	48
amtB	gene-b0451	TRANSCRIPT_gene-b0451	protein_coding	0	25	2	99	0	0	0	0	39	0	0	0	2	0	0	0	0	0	0	0	25	60
anmK	gene-b1640	TRANSCRIPT_gene-b1640	protein_coding	0	0	1	25	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	23
ansA	gene-b1767	TRANSCRIPT_gene-b1767	protein_coding	0	1	0	67	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	1	28
ansB	gene-b2957	TRANSCRIPT_gene-b2957	protein_coding	0	29	4	137	0	0	0	0	115	0	0	0	4	0	0	0	0	0	0	0	29	22
ansP	gene-b1453	TRANSCRIPT_gene-b1453	protein_coding	0	11	1	89	0	0	0	0	65	0	0	0	1	0	0	0	0	0	0	0	11	24
apaG	gene-b0050	TRANSCRIPT_gene-b0050	protein_coding	0	1	0	35	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	1	11
apaH	gene-b0049	TRANSCRIPT_gene-b0049	protein_coding	0	10	0	28	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	10	11
aphA	gene-b4055	TRANSCRIPT_gene-b4055	protein_coding	0	0	2	61	0	0	0	0	58	0	0	0	2	0	0	0	0	0	0	0	0	3
appA	gene-b0980	TRANSCRIPT_gene-b0980	protein_coding	0	3	2	30	0	0	0	0	29	0	0	0	2	0	0	0	0	0	0	0	3	1
appB	gene-b0979	TRANSCRIPT_gene-b0979	protein_coding	0	0	0	27	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	1
appC	gene-b0978	TRANSCRIPT_gene-b0978	protein_coding	0	0	1	17	0	0	0	0	17	0	0	0	1	0	0	0	0	0	0	0	0	0
appX	gene-b4592	TRANSCRIPT_gene-b4592	protein_coding	0	0	0	28	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	1
appY	gene-b0564	TRANSCRIPT_gene-b0564	protein_coding	0	0	0	113	0	0	0	0	49	0	0	0	0	0	0	0	0	0	0	0	0	64
apt	gene-b0469	TRANSCRIPT_gene-b0469	protein_coding	0	0	0	16	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	3
aqpZ	gene-b0875	TRANSCRIPT_gene-b0875	protein_coding	0	2	0	42	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	2	26
araA	gene-b0062	TRANSCRIPT_gene-b0062	protein_coding	0	19	4	169	0	0	0	0	59	0	0	0	4	0	0	0	0	0	0	0	19	110
araB	gene-b0063	TRANSCRIPT_gene-b0063	protein_coding	0	17	5	198	0	0	0	0	82	0	0	0	5	0	0	0	0	0	0	0	17	116
araC	gene-b0064	TRANSCRIPT_gene-b0064	protein_coding	0	9	0	217	0	0	0	0	142	0	0	0	0	0	0	0	0	0	0	0	9	75
araD	gene-b0061	TRANSCRIPT_gene-b0061	protein_coding	0	14	3	103	0	0	0	0	37	0	0	0	3	0	0	0	0	0	0	0	14	66
araE	gene-b2841	TRANSCRIPT_gene-b2841	protein_coding	0	15	1	79	0	0	0	0	14	0	0	0	1	0	0	0	0	0	0	0	15	65
araF	gene-b1901	TRANSCRIPT_gene-b1901	protein_coding	0	0	0	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	78
araG	gene-b1900	TRANSCRIPT_gene-b1900	protein_coding	0	0	0	54	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	50
araH	gene-b4460	TRANSCRIPT_gene-b4460	protein_coding	0	0	0	24	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	19
araJ	gene-b0396	TRANSCRIPT_gene-b0396	protein_coding	0	0	1	37	0	0	0	0	10	0	0	0	1	0	0	0	0	0	0	0	0	27
arcA	gene-b4401	TRANSCRIPT_gene-b4401	protein_coding	0	5	1	118	0	0	0	0	99	0	0	0	1	0	0	0	0	0	0	0	5	19
arcB	gene-b3210	TRANSCRIPT_gene-b3210	protein_coding	0	27	1	22	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	27	21
arcZ	gene-b4450	rna-b4450	lincRNA	0	0	0	48	0	0	0	0	47	0	0	0	0	0	0	0	0	0	0	0	0	1
arfA	gene-b4550	TRANSCRIPT_gene-b4550	protein_coding	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2
arfB	gene-b0191	TRANSCRIPT_gene-b0191	protein_coding	0	5	4	167	0	0	0	0	75	0	0	0	4	0	0	0	0	0	0	0	5	92
argA	gene-b2818	TRANSCRIPT_gene-b2818	protein_coding	0	15	0	68	0	0	0	0	60	0	0	0	0	0	0	0	0	0	0	0	15	8
argB	gene-b3959	TRANSCRIPT_gene-b3959	protein_coding	0	3	0	43	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	42
argC	gene-b3958	TRANSCRIPT_gene-b3958	protein_coding	0	0	0	47	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	43
argD	gene-b3359	TRANSCRIPT_gene-b3359	protein_coding	0	0	0	46	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	33
argE	gene-b3957	TRANSCRIPT_gene-b3957	protein_coding	0	19	2	49	0	0	0	0	46	0	0	0	2	0	0	0	0	0	0	0	19	3
argG	gene-b3172	TRANSCRIPT_gene-b3172	protein_coding	0	3	1	21	0	0	0	0	15	0	0	0	1	0	0	0	0	0	0	0	3	6
argH	gene-b3960	TRANSCRIPT_gene-b3960	protein_coding	0	0	0	38	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	35
argI	gene-b4254	TRANSCRIPT_gene-b4254	protein_coding	0	33	2	316	0	0	0	0	192	0	0	0	2	0	0	0	0	0	0	0	33	124
argK	gene-b2918	TRANSCRIPT_gene-b2918	protein_coding	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14
argP	gene-b2916	TRANSCRIPT_gene-b2916	protein_coding	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25
argQ	gene-b2691	rna-b2691	protein_coding	0	0	0	4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3
argR	gene-b3237	TRANSCRIPT_gene-b3237	protein_coding	0	3	1	98	0	0	0	0	74	0	0	0	1	0	0	0	0	0	0	0	3	24
argS	gene-b1876	TRANSCRIPT_gene-b1876	protein_coding	0	11	0	98	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	11	69
argT	gene-b2310	TRANSCRIPT_gene-b2310	protein_coding	0	0	0	6	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	3
argU	gene-b0536	rna-b0536	protein_coding	0	0	0	52	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	34
argV	gene-b2694	rna-b2694	protein_coding	0	0	0	5	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	4
argW	gene-b2348	rna-b2348	protein_coding	0	0	0	104	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	75
argX	gene-b3796	rna-b3796	protein_coding	0	0	0	322	0	0	0	0	231	0	0	0	0	0	0	0	0	0	0	0	0	91
argY	gene-b2693	rna-b2693	protein_coding	0	0	0	4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3
argZ	gene-b2692	rna-b2692	protein_coding	0	0	0	4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3
ariR	gene-b1166	TRANSCRIPT_gene-b1166	protein_coding	0	1	0	99	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	1	93
arnA	gene-b2255	TRANSCRIPT_gene-b2255	protein_coding	0	0	0	3	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1
arnB	gene-b2253	TRANSCRIPT_gene-b2253	protein_coding	0	0	0	3	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1
arnC	gene-b2254	TRANSCRIPT_gene-b2254	protein_coding	0	0	0	3	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1
arnD	gene-b2256	TRANSCRIPT_gene-b2256	protein_coding	0	0	0	3	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1
arnE	gene-b4544	TRANSCRIPT_gene-b4544	protein_coding	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2
arnF	gene-b2258	TRANSCRIPT_gene-b2258	protein_coding	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2
arnT	gene-b2257	TRANSCRIPT_gene-b2257	protein_coding	0	2	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0
